village,county,lon,lat,coord_source,verified_status,note
Hongcun 宏村,黟县,117.9813,30.0037,corrected,verified,古镇核心在镇区东侧
Xidi 西递,黟县,117.9896,29.9055,OSM-verified,verified,
Lucun 卢村,黟县,117.9705,30.0171,draft,verified,
Pingshan 屏山,黟县,117.9757,29.9421,draft,verified,
Nanping 南屏,黟县,117.8995,29.9013,OSM+imagery,verified,
Guanlu 关麓,黟县,117.8654,29.8985,OSM+imagery,verified,
Tachuan 塔川,黟县,118.0040,30.0218,OSM+imagery,verified,
Bishan 碧山,黟县,117.9090,29.9542,OSM+imagery,verified,
Chengkan 呈坎,徽州区,118.2762,29.9217,OSM-verified,verified,
Tangmo 唐模,徽州区,118.3307,29.8728,OSM-verified,verified,
Shuyuan 蜀源,徽州区,118.331,29.9096,OSM-verified,verified,
Lingshan 灵山,徽州区,118.3156,29.9189,OSM-verified,verified,
Qiankou 潜口,徽州区,118.2976,29.8657,OSM-verified,verified,
Yuliang 渔梁,歙县,118.4383,29.8669,draft,verified,
Tangyue 棠樾,歙县,118.3602,29.8684,OSM-verified,verified,
Xiongcun 雄村,歙县,118.4349,29.818,OSM-verified,verified,
Xucun 许村,歙县,118.3185,29.9972,OSM-verified,verified,
Zhanqi 瞻淇,歙县,118.5171,29.8765,OSM-verified,verified,
Changxi 昌溪,歙县,118.6446,29.9124,OSM-verified,verified,
Shitan 石潭,歙县,118.6641,29.9376,OSM-verified,verified,
Zuyuan 祖源,休宁县,118.0306,29.662,OSM-verified,verified,
Mulihong 木梨硔,休宁县,118.0017,29.6483,OSM-verified,verified,
Longchuan 龙川,绩溪县,118.6719,30.0772,draft,verified,
Renli 仁里,绩溪县,118.3709,29.9728,OSM-verified,verified,
Shangzhuang 上庄,绩溪县,118.4347,30.1243,OSM+imagery,verified,
Kantou 磡头,绩溪县,118.8113,30.2396,OSM+imagery,approximate,吸附建成区肌体后偏移73m；家朋乡驻地旁，待用户确认
Lixi 历溪,祁门县,117.5066,29.9005,OSM+imagery,approximate,吸附建成区肌体后偏移143m；历口镇驻地，待用户确认
Zhukou 渚口,祁门县,117.4847,29.8541,OSM+imagery,verified,
Huansha 环砂,祁门县,117.5130,29.9348,OSM+imagery,verified,替补村：历口镇，影像命中
